Data Model,Event Type,Field Group,Title,Data Type,Consistency,Required,Notes,Description
Clinical Summary,PatientQuery,Meta,Meta.DataModel,String,1,true,"","Clinical Summary"
Clinical Summary,PatientQuery,Meta,Meta.EventType,String,1,true,"","PatientQuery"
Clinical Summary,PatientQuery,Meta,Meta.EventDateTime,DateTime,1,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","Displays the UTC date and time that an outgoing request is delivered or an incoming request is received."
Clinical Summary,PatientQuery,Meta,Meta.Test,Boolean,1,false,"","Indicates whether the request is a test or not."
Clinical Summary,PatientQuery,Meta,Meta.Source,String,1,false,"Included in messages from Redox","Contains the information for the system initiating the message, including the source ID and name."
Clinical Summary,PatientQuery,Meta,Meta.Source.ID,String,1,false,"UUID","Identifies the system initiating the message. If you have multiple OAuth API keys per environment type, this value is required. If you have only one OAuth API key per environment type, or you're using legacy API keys, this value is optional."
Clinical Summary,PatientQuery,Meta,Meta.Source.Name,String,1,false,"","Displays the name of the system initiating the message."
Clinical Summary,PatientQuery,Meta,Meta.Destinations[],Array of Objects,1,false,"Required when sending data to Redox.","Contains the information for the endpoint(s) receiving the request. A request must contain at least one destination, but asynchronous requests can have more than one destination. Synchronous requests like queries can only support one destination."
Clinical Summary,PatientQuery,Meta,Meta.Destinations[].ID,String,1,false,"UUID","Identifies the endpoint that the request is directed to."
Clinical Summary,PatientQuery,Meta,Meta.Destinations[].Name,String,1,false,"","Displays the name of the endpoint that the request is directed to."
Clinical Summary,PatientQuery,Meta,Meta.Logs[],Array of Objects,1,false,"","Contains the log identifier(s) for the request."
Clinical Summary,PatientQuery,Meta,Meta.Logs[].ID,String,1,false,"UUID","Identifies the request log(s) that correspond to this request. You can use this value to locate the relevant log in the Redox dashboard for support and reference."
Clinical Summary,PatientQuery,Meta,Meta.Logs[].AttemptID,String,1,false,"UUID","Identifies the request log attempt value, which is useful when retries are possible."
Clinical Summary,PatientQuery,Meta,Meta.FacilityCode,String,3,false,"Only use this field if a health system indicates you should. The code is specific to the health system's EHR and might not be unique across health systems. In general, the facility fields within the data models (e.g. OrderingFacility) are more reliable and informative.","Code for the facility related to the message."
Clinical Summary,PatientQuery,Patient,Patient.Identifiers[],Array of Objects,1,false,"","List of IDs and IDTypes for the patient"
Clinical Summary,PatientQuery,Patient,Patient.Identifiers[].ID,String,1,true,"","ID of the Patient"
Clinical Summary,PatientQuery,Patient,Patient.Identifiers[].IDType,String,1,true,"","ID Type for the corresponding ID of this patient (ie. MRN, EHRID)"
Clinical Summary,PatientQuery,Location,Location.Department,String,3,false,"This field is required for some EHRs.","ID corresponding to the department from which to retrieved the patient chart."
Clinical Summary,PatientQueryResponse,Meta,Meta.DataModel,String,1,true,"","Clinical Summary"
Clinical Summary,PatientQueryResponse,Meta,Meta.EventType,String,1,true,"","PatientQueryResponse"
Clinical Summary,PatientQueryResponse,Meta,Meta.EventDateTime,DateTime,1,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","Displays the UTC date and time that an outgoing request is delivered or an incoming request is received."
Clinical Summary,PatientQueryResponse,Meta,Meta.Test,Boolean,1,false,"","Indicates whether the request is a test or not."
Clinical Summary,PatientQueryResponse,Meta,Meta.Source,String,1,false,"Included in messages from Redox","Contains the information for the system initiating the message, including the source ID and name."
Clinical Summary,PatientQueryResponse,Meta,Meta.Source.ID,String,1,false,"UUID","Identifies the system initiating the message. If you have multiple OAuth API keys per environment type, this value is required. If you have only one OAuth API key per environment type, or you're using legacy API keys, this value is optional."
Clinical Summary,PatientQueryResponse,Meta,Meta.Source.Name,String,1,false,"","Displays the name of the system initiating the message."
Clinical Summary,PatientQueryResponse,Meta,Meta.Destinations[],Array of Objects,1,false,"Required when sending data to Redox.","Contains the information for the endpoint(s) receiving the request. A request must contain at least one destination, but asynchronous requests can have more than one destination. Synchronous requests like queries can only support one destination."
Clinical Summary,PatientQueryResponse,Meta,Meta.Destinations[].ID,String,1,false,"UUID","Identifies the endpoint that the request is directed to."
Clinical Summary,PatientQueryResponse,Meta,Meta.Destinations[].Name,String,1,false,"","Displays the name of the endpoint that the request is directed to."
Clinical Summary,PatientQueryResponse,Meta,Meta.Logs[],Array of Objects,1,false,"","Contains the log identifier(s) for the request."
Clinical Summary,PatientQueryResponse,Meta,Meta.Logs[].ID,String,1,false,"UUID","Identifies the request log(s) that correspond to this request. You can use this value to locate the relevant log in the Redox dashboard for support and reference."
